what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1339567152737
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1339567152737
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1339567152737
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1339567152737
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1339567152784
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1339567152815
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1339567153097
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1339567153097
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1339567153097
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1339567153097
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1339567153128
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1339567153128
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1339567153128
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1339567153128
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1339567153128
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1339567153144
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339567153206
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1339567153206
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1339567153206
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1339567153206
os,sysinfo,,,"win32",1339567153206
arch,sysinfo,,,"x86",1339567153206
ws,sysinfo,,,"win32",1339567153206
locale,sysinfo,,,"en_US",1339567153206
processors,sysinfo,,,"2",1339567153206
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1339567153206
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1339567153206
java.specification.name,sysinfo,,,"Java Platform API Specification",1339567153206
java.specification.vendor,sysinfo,,,"Oracle Corporation",1339567153206
java.specification.version,sysinfo,,,"1.7",1339567153206
java.vendor,sysinfo,,,"Oracle Corporation",1339567153206
java.version,sysinfo,,,"1.7.0_01",1339567153206
java.vm.info,sysinfo,,,"mixed mode, sharing",1339567153206
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1339567153206
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339567153206
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1339567153206
java.vm.specification.version,sysinfo,,,"1.7",1339567153206
java.vm.vendor,sysinfo,,,"Oracle Corporation",1339567153206
java.vm.version,sysinfo,,,"21.1-b02",1339567153206
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1339567153300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339567302683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339567392395
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339567404917
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1339567405886
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1339567405902
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1339567406340
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1339567406418
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1339567406449
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1339567406496
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1339577281079
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1339577281095
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1339577281095
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1339577281095
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1339577281095
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1339577281095
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1339577281095
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1339577281095
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1339577281095
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1339577281111
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1339577281111
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1339577281111
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1339577281111
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1339577281111
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1339577281111
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1339577281111
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1339577281111
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1339577281126
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1339577281126
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1339577281126
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1339577281126
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1339577281126
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1339577281142
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1339577281142
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1339577281142
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1339577281142
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1339577281142
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1339577281142
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1339577281142
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1339577281142
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1339577281142
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1339577281158
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1339577281158
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1339577281158
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1339577281158
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1339577281158
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1339577281158
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1339577281173
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1339577281173
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1339577281173
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1339577281173
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1339577281173
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1339577281173
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1339577281173
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1339577281189
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1339577281189
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1339577281189
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1339577281189
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1339577281189
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1339577281189
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1339577281189
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1339577281189
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1339577281189
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1339577281189
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1339577281189
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1339577281204
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1339577281204
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1339577281204
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1339577281204
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1339577281204
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1339577281204
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1339577281204
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1339577281220
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1339577281220
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1339577281220
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1339577281220
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1339577281220
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1339577281220
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1339577281220
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1339577281220
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1339577281236
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1339577281236
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1339577281236
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1339577281236
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339577281236
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1339577281236
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1339577281236
os,sysinfo,,,"win32",1339577281251
arch,sysinfo,,,"x86",1339577281251
ws,sysinfo,,,"win32",1339577281251
locale,sysinfo,,,"en_US",1339577281251
processors,sysinfo,,,"2",1339577281251
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1339577281251
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1339577281251
java.specification.name,sysinfo,,,"Java Platform API Specification",1339577281251
java.specification.vendor,sysinfo,,,"Oracle Corporation",1339577281251
java.specification.version,sysinfo,,,"1.7",1339577281251
java.vendor,sysinfo,,,"Oracle Corporation",1339577281251
java.version,sysinfo,,,"1.7.0_01",1339577281251
java.vm.info,sysinfo,,,"mixed mode, sharing",1339577281251
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1339577281251
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339577281251
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1339577281251
java.vm.specification.version,sysinfo,,,"1.7",1339577281251
java.vm.vendor,sysinfo,,,"Oracle Corporation",1339577281251
java.vm.version,sysinfo,,,"21.1-b02",1339577281251
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1339577281267
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1339577281361
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1339577284689
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1339577284767
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1339577284799
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1339577284955
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339577506854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339577509448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339577509448
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339577509526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339577515558
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339577519277
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1339577520605
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1339577520637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339577520871
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1339577524465
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1339577528091
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1339577530982
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1339577531122
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1339577531732
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339577532997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339577561797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339577562391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339577563298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339578831029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339578831154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339578831154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339578951496
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339578956746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1339578956762
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339578958215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339578960684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339578960684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339578962044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339578962137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339579560921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339579563515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339579563515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339579563578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339580428147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339580612452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339580747786
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339580753963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1339580791519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339580793156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339581027690
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339581028299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339581040828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339581079384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339581099747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339581099794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339581103570
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339581118643
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1339581119329
